ssn,fName,lName,empAddress,email,DOB,phoneNumber,storeID,,,,,,,
312989,James,Smith,"34682 Cedar Avenue, Los Angeles, CA 90001",James.Smith@gmail.com,1990-10-02,7820436195,6542,,,,,,,
312990,John,Johnson,"11205 Birch Street, San Diego, CA 90002",John.Johnson@gmail.com,1990-05-25,1089234576,6542,,,,,,,
312991,Robert,Williams,"56540 Elm Drive, San Francisco, CA 90003",Robert.Williams@gmail.com,1991-07-12,8957021643,6542,,,,,,,
312992,Michael,Brown,"25489 Oak Lane, San Jose, CA 90004",Michael.Brown@gmail.com,1991-09-04,2398467150,6542,,,,,,,
312993,William,Jones,"98637 Maple Avenue, Fresno, CA 90005",William.Jones@gmail.com,1992-01-18,5162739408,6542,,,,,,,
312994,David,Garcia,"72560 Pine Street, Sacramento, CA 90006",David.Garcia@gmail.com,1992-03-22,6209843157,6542,,,,,,,
493750,Mary,Miller,"89321 Ash Road, Oakland, CA 90007",Mary.Miller@gmail.com,1992-08-07,9571308246,7863,,,,,,,
493751,Christopher,Davis,"45671 Willow Lane, Long Beach, CA 90008",Christopher.Davis@gmail.com,1991-09-04,3147098625,7863,,,,,,,
493752,Joseph,Rodriguez,"34789 Cherry Drive, Santa Ana, CA 90009",Joseph.Rodriguez@gmail.com,1993-04-05,4285160937,7863,,,,,,,
493753,Richard,Martinez,"10985 Poplar Avenue, Anaheim, CA 90010",Richard.Martinez@gmail.com,1993-05-21,7195832460,7863,,,,,,,
493754,Daniel,Hernandez,"67423 Cedar Street, Riverside, CA 90011",Daniel.Hernandez@gmail.com,1993-09-12,2389710654,7863,,,,,,,
493755,Jennifer,Lopez,"23568 Birch Avenue, Bakersfield, CA 90012",Jennifer.Lopez@gmail.com,1997-02-16,5948072361,7863,,,,,,,
493756,Elizabeth,Gonzalez,"83476 Elm Road, Stockton, CA 90013",Elizabeth.Gonzalez@gmail.com,1994-02-13,8912076354,7863,,,,,,,
542697,Charles,Perez,"56789 Oak Drive, Modesto, CA 90014",Charles.Perez@gmail.com,1994-05-01,3071569482,2335,,,,,,,
